city,stars,business_count
Tarpon springs,3.5,1
Danville,4.5,1
"Mount Holly,",3.5,1
Brooklawn,5.0,1
St Ann,3.5,1
Sahuarita,4.0,2
Belleair Beach,4.5,1
Medford,5.0,4
Mt. Ephraim,3.5,1
Port Richey,4.5,20
Royersford,5.0,4
Carmel,5.0,51
Mount Laurel,1.5,11
Cherry Hill,4.5,95
OFallon,3.5,2
Metairie,2.0,68
Eagleville,5.0,2
Malvern,4.5,35
University City,2.5,8
Lebanon,3.5,5
Odessa,5.0,8
Thorndale,4.0,4
Carpinteria,3.5,23
Bensalem,1.5,10
Williamstown,1.5,4
Wesley Chapel,5.0,20
Stowe,4.5,1
Limerick,2.0,2
Fort Washington,3.5,9
Langhorne,3.0,41
Avon,3.5,41
Tampa,5.0,423
Malaga,4.0,4
Blue Bell,4.5,17
Carneys Point,2.5,1
Ferguson,4.5,6
Holmes,4.5,2
Columbia,4.0,6
Oldsmar,1.0,1
St Louis,2.0,18
Cheltenham,3.0,2
Mount Holly,4.0,17
Joelton,1.5,1
Willingboro Township,3.0,1
Warminster,3.5,34
St Charles,1.0,2
West Berlin,3.0,13
Old Hickory,1.5,3
Boise,1.5,38
Green Valley,4.5,2
Glen Mills,4.5,23
Mascoutah,4.0,2
Collegeville,4.5,21
Pinellas Park,3.0,39
Mccordsville,3.5,1
Washington Crossing,2.5,1
Port Richey,2.5,20
Haddon,4.5,2
Sherwood Park,2.0,5
Cherry Hill,4.0,135
Kulpsville,4.0,1
Springfield,2.0,28
Downingtown,4.0,36
Pottsgrove,2.5,1
Harrison Township,4.0,2
Royersford,1.5,4
Seffner,2.5,9
Carpinteria,2.5,19
Eastampton,2.5,1
South Pasadena,1.5,3
Berwyn,3.0,13
Medford,3.5,26
St. Pete Beach,3.0,20
Sahuarita,3.0,6
Tierre Verde,4.5,1
Radnor,3.5,3
Alton,4.0,18
Spring House,3.0,2
Dover,1.5,1
Plumsteadville,3.5,3
Monroe Township,4.5,1
Oaks,3.5,6
Westampton,3.5,4
Radnor,4.0,5
Salem,4.5,2
Berlin,2.5,4
Riverview,5.0,24
St Albert,4.0,9
Mount Juliet,4.5,26
Levittown,2.5,16
Chester,1.5,2
Westmont,4.5,4
Troy,4.5,2
Pennsauken Township,4.5,6
Valrico,2.5,18
Narberth,3.0,11
McCordsville,5.0,1
Sharon Hill,2.0,3
Drexel Hill,2.0,6
Voorhees Township,5.0,3
Bethel Township,3.0,1
Isla Vista,4.5,11
Caseyville,4.0,1
Dresher,1.5,1
Collingswood,1.5,2
Line Lexington,4.5,1
Madeira Beach,5.0,9
Chester Springs,5.0,4
Isla Vista,2.5,12
Cedars,3.5,1
Souderton,2.5,10
Spring Hill,1.5,2
Mt Juliet,3.0,4
Westville,3.0,2
Avon,2.0,18
Arnold,3.5,18
Plant City,5.0,6
Exton,5.0,7
Marlton,1.0,2
Land O' Lakes,3.0,10
St. Albert,5.0,1
University City,4.0,18
Spring House,3.5,6
Lower Merion,2.0,1
Lahaska,2.5,3
Lemay,2.0,1
Meridian,3.5,156
Wyndmoor,5.0,3
Holmes,4.0,2
Evesham Township,4.0,6
Huntingdon Valley,4.0,25
Gloucester Township,3.0,2
Plant City,3.0,20
Wallingford,4.0,2
Montgomeryville,5.0,2
Vail,3.5,8
Lithia,3.5,13
Holicong,4.0,1
Dunedin,4.5,102
Wilmington ,5.0,1
Lithia,4.0,7
West Chester,4.0,132
